# Weather station Moscow, Russia, WMO_ID=27612,selection from 01.02.2021 till 01.02.2022, all days
# Encoding: Unicode
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=27612&lang=en
#
"Local time in Moscow";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss";
"01.02.2022 21:00";"-1.7";"735.0";"748.9";"0.9";"83";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"-0.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"20.0";"-4.2";"0.2";"12";"";"";"";"";
"01.02.2022 18:00";"-0.7";"734.1";"748.0";"0.9";"80";"Wind blowing from the south";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"20.0";"-3.7";"0.4";"12";"";"";"";"";
"01.02.2022 15:00";"-0.4";"733.2";"747.0";"0.5";"83";"Wind blowing from the west-southwest";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"15.0";"-3.0";"";"";"";"";"";"";
"01.02.2022 12:00";"-0.9";"732.7";"746.6";"1.1";"88";"Wind blowing from the west-southwest";"1";"";"";"100%.";"Snow shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"100%.";"200-300";"";"";"7.0";"-2.7";"";"";"";"";"";"";
"01.02.2022 09:00";"-2.1";"731.6";"745.5";"1.3";"88";"Wind blowing from the west-southwest";"1";"";"";"100%.";"Mist. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-2.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"10.0";"-3.9";"3.0";"12";"";"";"Even layer of loose dry snow covering ground completely.";"49.0";
"01.02.2022 06:00";"-1.7";"730.3";"744.1";"0.3";"96";"Calm, no wind";"0";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-1.8";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"3.7";"-2.2";"3.0";"12";"";"";"";"";
"01.02.2022 03:00";"-1.6";"730.0";"743.8";"0.2";"96";"Calm, no wind";"0";"";"";"100%.";"Snow not falling as shower(s). ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"100-200";"";"";"3.7";"-2.2";"";"";"";"";"";"";
"01.02.2022 00:00";"-1.5";"729.8";"743.6";"-0.2";"95";"Calm, no wind";"0";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"4.3";"-2.2";"";"";"";"";"";"";
"31.01.2022 21:00";"-1.3";"730.0";"743.8";"-0.5";"92";"Wind blowing from the north-east";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-1.1";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"3.7";"-2.4";"2.0";"12";"";"";"";"";
"31.01.2022 18:00";"-1.2";"730.5";"744.4";"-0.1";"93";"Wind blowing from the east";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"";"-2.2";"1.0";"12";"";"";"";"";
"31.01.2022 15:00";"-1.5";"730.6";"744.4";"-0.3";"91";"Wind blowing from the east-southeast";"2";"";"";"100%.";"Intermittent fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"200-300";"";"";"4.7";"-2.8";"";"";"";"";"";"";
"31.01.2022 12:00";"-2.0";"730.9";"744.7";"-0.1";"90";"Wind blowing from the east-southeast";"2";"";"";"100%.";"Snow not falling as shower(s). ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"200-300";"";"";"6.0";"-3.4";"";"";"";"";"";"";
"31.01.2022 09:00";"-2.8";"731.0";"745.0";"0.1";"88";"Wind blowing from the east-southeast";"1";"";"";"100%.";"Snow not falling as shower(s). ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-3.9";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"9.0";"-4.5";"2.0";"12";"";"";"Even layer of loose dry snow covering ground completely.";"47.0";
"31.01.2022 06:00";"-3.3";"730.9";"744.9";"-0.4";"90";"Wind blowing from the south-east";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-3.9";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"3.8";"-4.8";"2.0";"12";"";"";"";"";
"31.01.2022 03:00";"-3.6";"731.3";"745.3";"-0.3";"89";"Wind blowing from the south-east";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"8.0";"-5.1";"";"";"";"";"";"";
"31.01.2022 00:00";"-3.4";"731.6";"745.6";"-0.2";"87";"Wind blowing from the south-east";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.3";"-5.3";"";"";"";"";"";"";
"30.01.2022 21:00";"-3.4";"731.8";"745.8";"0.0";"89";"Wind blowing from the south-east";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-2.8";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.8";"-5.0";"0.2";"12";"";"";"";"";
"30.01.2022 18:00";"-3.0";"731.8";"745.8";"-0.1";"80";"Wind blowing from the south-southeast";"2";"";"";"100%.";"Intermittent fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"8.0";"-6.0";"Trace of precipitation";"12";"";"";"";"";
"30.01.2022 15:00";"-2.9";"731.9";"745.9";"-1.4";"74";"Wind blowing from the south-east";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"-7.0";"";"";"";"";"";"";
"30.01.2022 12:00";"-3.6";"733.3";"747.4";"-0.6";"76";"Wind blowing from the south";"2";"";"";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"20.0";"-7.3";"";"";"";"";"";"";
"30.01.2022 09:00";"-4.1";"733.9";"748.0";"-1.3";"82";"Wind blowing from the south";"1";"";"";"100%.";" ";"";"";"-4.3";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"20.0";"-6.7";"No precipitation";"12";"";"";"Even layer of loose dry snow covering ground completely.";"47.0";
"30.01.2022 06:00";"-4.3";"735.2";"749.3";"-2.0";"82";"Wind blowing from the south";"1";"";"";"100%.";" ";"";"";"-4.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"20.0";"-7.0";"0.6";"12";"";"";"";"";
"30.01.2022 03:00";"-4.0";"737.2";"751.3";"-1.6";"89";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"12.0";"-5.6";"";"";"";"";"";"";
