# Weather station Moscow, Russia, WMO_ID=27612,selection from 01.02.2022 till 01.02.2023, all days
# Encoding: Unicode
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=27612&lang=en
#
"Local time in Moscow";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"01.02.2023 21:00";"0.0";"741.0";"754.9";"0.4";"80";"Wind blowing from the south-southeast";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"1.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"14.0";"-3.1";"0.5";"12";"";"";"";"";
"01.02.2023 18:00";"0.5";"740.6";"754.5";"0.4";"78";"Wind blowing from the south-southeast";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"15.0";"-2.9";"0.5";"12";"";"";"";"";
"01.02.2023 15:00";"0.1";"740.2";"754.1";"0.0";"90";"Wind blowing from the south-southeast";"2";"";"";"100%.";"Shower(s) of snow, or of rain and snow. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"10.0";"-1.3";"";"";"";"";"";"";
"01.02.2023 12:00";"0.7";"740.2";"754.2";"0.3";"84";"Wind blowing from the south-southeast";"2";"";"";"100%.";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"11.0";"-1.7";"";"";"";"";"";"";
"01.02.2023 09:00";"0.7";"739.9";"753.8";"0.9";"87";"Wind blowing from the south";"1";"";"";"100%.";"Snow not falling as shower(s). ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"0.4";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"10.0";"-1.2";"0.2";"12";"";"";"Even layer of compact or wet snow covering ground completely.";"24.0";
"01.02.2023 06:00";"0.8";"739.0";"752.9";"0.3";"84";"Wind blowing from the south";"1";"";"";"100%.";" ";"";"";"0.4";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"18.0";"-1.6";"0.2";"12";"";"";"";"";
"01.02.2023 03:00";"0.5";"738.7";"752.6";"0.5";"89";"Wind blowing from the south";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain and snow or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"14.0";"-1.1";"";"";"";"";"";"";
"01.02.2023 00:00";"0.4";"738.2";"752.2";"0.5";"89";"Wind blowing from the south";"1";"";"";"100%.";"Intermittent fall of snowflakes, slight at time of observation. ";"Rain and snow or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"6.0";"-1.2";"";"";"";"";"";"";
"31.01.2023 21:00";"0.6";"737.7";"751.6";"0.7";"84";"Wind blowing from the south";"1";"";"";"100%.";" ";"";"";"";"0.8";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"15.0";"-1.9";"No precipitation";"12";"";"";"";"";
"31.01.2023 18:00";"0.7";"737.0";"750.9";"0.9";"79";"Wind blowing from the south";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"-2.6";"No precipitation";"12";"";"";"";"";
